0.500000,-0.003695
0.499963,-0.006783
0.499895,-0.009942
0.499796,-0.013082
0.499665,-0.017755
0.499487,-0.021818
0.499269,-0.026407
0.499005,-0.029463
0.498711,-0.032949
0.498381,-0.037668
0.498004,-0.040862
0.497596,-0.043573
0.497160,-0.048317
0.496677,-0.050212
0.496175,-0.053533
0.495639,-0.056307
0.495076,-0.059901
0.494477,-0.064093
0.493836,-0.066365
0.493173,-0.069518
0.492478,-0.072735
0.491750,-0.075127
0.490999,-0.079346
0.490205,-0.082177
0.489384,-0.083536
0.488548,-0.086014
0.487688,-0.090235
0.486786,-0.093850
0.485847,-0.095095
0.484896,-0.097413
0.483922,-0.099269
0.482930,-0.102400
0.481906,-0.107206
0.480834,-0.110490
0.479729,-0.114372
0.478585,-0.116738
0.477417,-0.119033
0.476227,-0.122455
0.475003,-0.125915
0.473743,-0.129787
0.472446,-0.132734
0.471118,-0.135225
0.469766,-0.138833
0.468378,-0.140941
0.466968,-0.144783
0.465520,-0.148335
0.464037,-0.151125
0.462526,-0.153400
0.460992,-0.156220
0.459430,-0.158851
0.457841,-0.161915
0.456222,-0.164952
0.454572,-0.166931
0.452903,-0.170991
0.451193,-0.174432
0.449449,-0.177912
0.447670,-0.180986
0.445860,-0.184496
0.444015,-0.188574
0.442129,-0.190357
0.440226,-0.192203
0.438304,-0.195333
0.436350,-0.198376
0.434366,-0.202142
0.432345,-0.205774
0.430287,-0.208764
0.428200,-0.211866
0.426081,-0.215186
0.423929,-0.217795
0.421751,-0.220945
0.419542,-0.222056
0.417321,-0.227319
0.415048,-0.230264
0.412745,-0.233367
0.410412,-0.235571
0.408056,-0.238527
0.405671,-0.240210
0.403269,-0.242276
0.400846,-0.244656
0.398399,-0.247133
0.395928,-0.250040
0.393428,-0.251753
0.390910,-0.254663
0.388363,-0.257246
0.385791,-0.260066
0.383190,-0.262494
0.380565,-0.262669
0.377939,-0.265111
0.375288,-0.269273
0.372595,-0.271900
0.369876,-0.275903
0.367117,-0.279557
0.364321,-0.281640
0.361505,-0.284296
0.358662,-0.285578
0.355806,-0.287561
0.352930,-0.290689
0.350024,-0.293347
0.347090,-0.295460
0.344135,-0.297813
0.341157,-0.300383
0.338154,-0.302514
0.335128,-0.305851
0.332070,-0.307509
0.328995,-0.309591
0.325899,-0.312031
0.322779,-0.314343
0.319635,-0.317059
0.316465,-0.319278
0.313272,-0.323021
0.310042,-0.326259
0.306779,-0.327515
0.303504,-0.331178
0.300192,-0.332860
0.296863,-0.336009
0.293503,-0.338490
0.290118,-0.339877
0.286720,-0.340841
0.283311,-0.344038
0.279871,-0.346068
0.276410,-0.348927
0.272921,-0.351327
0.269408,-0.353019
0.265878,-0.354135
0.262336,-0.356487
0.258771,-0.358932
0.255182,-0.360295
0.251579,-0.362792
0.247951,-0.364966
0.244301,-0.366563
0.240636,-0.368487
0.236951,-0.370274
0.233248,-0.371124
0.229537,-0.371749
0.225819,-0.372765
0.222092,-0.375640
0.218335,-0.378046
0.214555,-0.379823
0.210757,-0.381526
0.206941,-0.382544
0.203116,-0.383875
0.199277,-0.385612
0.195421,-0.388575
0.191535,-0.389740
0.187638,-0.391317
0.183725,-0.393386
0.179791,-0.394498
0.175846,-0.395503
0.171891,-0.396606
0.167925,-0.398413
0.163941,-0.398425
0.159956,-0.399306
0.155963,-0.401389
0.151950,-0.402744
0.147922,-0.404299
0.143879,-0.404674
0.139832,-0.405954
0.135773,-0.407603
0.131697,-0.408078
0.127616,-0.409903
0.123517,-0.410868
0.119408,-0.411419
0.115294,-0.411461
0.111180,-0.413409
0.107045,-0.412924
0.102916,-0.413943
0.098777,-0.414418
0.094633,-0.415637
0.090476,-0.416948
0.086307,-0.417604
0.082131,-0.416593
0.077965,-0.418301
